名称,热度,评分,评分人数,分类,地区,图片
北京大学,100,4.9,5600,"高等学府,985,双一流,C9",北京市海淀区,/static/images/spots/北京大学.jpg
清华大学,98,4.9,5400,"高等学府,985,双一流,C9",北京市海淀区,/static/images/spots/清华大学.jpg
复旦大学,95,4.8,4800,"高等学府,985,双一流,C9",上海市杨浦区,/static/images/spots/复旦大学.jpg
上海交通大学,93,4.8,4500,"高等学府,985,双一流,C9",上海市闵行区,/static/images/spots/上海交通大学.jpg
浙江大学,90,4.7,4200,"高等学府,985,双一流,C9",浙江省杭州市,/static/images/spots/浙江大学.jpg
南京大学,88,4.7,3900,"高等学府,985,双一流,C9",江苏省南京市,/static/images/spots/南京大学.jpg
中国人民大学,92,4.7,3800,"高等学府,985,双一流,人文社科",北京市海淀区,/static/images/spots/天安门.jpg
北京航空航天大学,90,4.6,3500,"高等学府,985,双一流,工科强校",北京市海淀区,/static/images/spots/圆明园.jpg
北京理工大学,89,4.6,3300,"高等学府,985,双一流,工科强校",北京市海淀区,/static/images/spots/九寨沟.jpg
中国农业大学,85,4.5,2600,"高等学府,985,双一流,农业科学",北京市海淀区,/static/images/spots/九寨沟.jpg
北京交通大学,83,4.3,2100,"高等学府,211,双一流,交通工程",北京市海淀区,/static/images/spots/长城.jpg
同济大学,94,4.8,4200,"高等学府,985,双一流,建筑强校",上海市杨浦区,/static/images/spots/上海交通大学.jpg
华东师范大学,88,4.7,3100,"高等学府,985,双一流,师范教育",上海市普陀区,/static/images/spots/浙江大学.jpg
上海财经大学,86,4.6,2800,"高等学府,211,双一流,财经类",上海市杨浦区,/static/images/spots/天坛.jpg
上海大学,82,4.3,2000,"高等学府,211,双一流,综合大学",上海市宝山区,/static/images/spots/北京大学.jpg
东华大学,80,4.2,1750,"高等学府,211,双一流,纺织服装",上海市松江区,/static/images/spots/齐云山.jpg
东南大学,91,4.7,3700,"高等学府,985,双一流,建筑工科",江苏省南京市,/static/images/spots/北京大学.jpg
南京航空航天大学,86,4.5,2700,"高等学府,211,双一流,航空航天",江苏省南京市,/static/images/spots/天安门.jpg
南京理工大学,85,4.4,2500,"高等学府,211,双一流,兵器科学",江苏省南京市,/static/images/spots/齐云山.jpg
河海大学,83,4.3,2100,"高等学府,211,双一流,水利工程",江苏省南京市,/static/images/spots/浙江大学.jpg
武汉大学,95,4.9,4600,"高等学府,985,双一流,最美校园",湖北省武汉市,/static/images/spots/天坛.jpg
华中科技大学,93,4.8,4300,"高等学府,985,双一流,工科强校",湖北省武汉市,/static/images/spots/上海交通大学.jpg
武汉理工大学,84,4.4,2300,"高等学府,211,双一流,材料科学",湖北省武汉市,/static/images/spots/复旦大学.jpg
华中师范大学,82,4.3,1950,"高等学府,211,双一流,师范教育",湖北省武汉市,/static/images/spots/北京国子监.jpg
西安交通大学,92,4.7,3800,"高等学府,985,双一流,C9,工科强校",陕西省西安市,/static/images/spots/三亚湾.jpg
西北工业大学,88,4.6,3100,"高等学府,985,双一流,航空航天",陕西省西安市,/static/images/spots/北京国子监.jpg
西安电子科技大学,86,4.5,2700,"高等学府,211,双一流,电子信息",陕西省西安市,/static/images/spots/天坛.jpg
西北大学,81,4.3,1850,"高等学府,211,双一流,综合大学",陕西省西安市,/static/images/spots/浙江大学.jpg
中国科学技术大学,96,4.9,4800,"高等学府,985,双一流,C9,理学强校",安徽省合肥市,/static/images/spots/西湖.jpg
哈尔滨工业大学,93,4.8,4200,"高等学府,985,双一流,C9,工科强校",黑龙江省哈尔滨市,/static/images/spots/天安门.jpg
南开大学,91,4.7,3600,"高等学府,985,双一流,综合大学",天津市南开区,/static/images/spots/复旦大学.jpg
天津大学,89,4.6,3400,"高等学府,985,双一流,工科强校",天津市南开区,/static/images/spots/西湖.jpg
中山大学,94,4.8,4400,"高等学府,985,双一流,综合大学",广东省广州市,/static/images/spots/齐云山.jpg
华南理工大学,87,4.5,2900,"高等学府,985,双一流,工科强校",广东省广州市,/static/images/spots/九寨沟.jpg
山东大学,88,4.6,3200,"高等学府,985,双一流,综合大学",山东省济南市,/static/images/spots/故宫.jpg
中国海洋大学,84,4.4,2200,"高等学府,985,双一流,海洋科学",山东省青岛市,/static/images/spots/上海交通大学.jpg
四川大学,90,4.7,3500,"高等学府,985,双一流,综合大学",四川省成都市,/static/images/spots/北京国子监.jpg
电子科技大学,89,4.6,3300,"高等学府,985,双一流,电子信息",四川省成都市,/static/images/spots/浙江大学.jpg
重庆大学,87,4.5,3000,"高等学府,985,双一流,工科强校",重庆市沙坪坝区,/static/images/spots/西湖.jpg
湖南大学,86,4.5,2800,"高等学府,985,双一流,工科强校",湖南省长沙市,/static/images/spots/龙虎山.jpg
中南大学,87,4.5,2900,"高等学府,985,双一流,工科医学",湖南省长沙市,/static/images/spots/龙虎山.jpg
国防科技大学,91,4.8,3600,"高等学府,985,双一流,军事院校",湖南省长沙市,/static/images/spots/上海交通大学.jpg
厦门大学,92,4.7,3800,"高等学府,985,双一流,最美校园",福建省厦门市,/static/images/spots/张家界.jpg
兰州大学,85,4.4,2400,"高等学府,985,双一流,综合大学",甘肃省兰州市,/static/images/spots/西湖.jpg
吉林大学,86,4.5,2700,"高等学府,985,双一流,综合大学",吉林省长春市,/static/images/spots/龙虎山.jpg
东北大学,83,4.3,2100,"高等学府,985,双一流,工科强校",辽宁省沈阳市,/static/images/spots/天坛.jpg
大连理工大学,85,4.4,2400,"高等学府,985,双一流,工科强校",辽宁省大连市,/static/images/spots/复旦大学.jpg
郑州大学,82,4.3,2000,"高等学府,211,双一流,综合大学",河南省郑州市,/static/images/spots/西湖.jpg
云南大学,80,4.2,1700,"高等学府,211,双一流,综合大学",云南省昆明市,/static/images/spots/圆明园.jpg
苏州大学,84,4.4,2200,"高等学府,211,双一流,综合大学",江苏省苏州市,/static/images/spots/齐云山.jpg
暨南大学,81,4.3,1800,"高等学府,211,双一流,华侨最高学府",广东省广州市,/static/images/spots/圆明园.jpg
西南大学,79,4.2,1600,"高等学府,211,双一流,综合大学",重庆市北碚区,/static/images/spots/清华大学.jpg
西北农林科技大学,78,4.2,1500,"高等学府,985,双一流,农林科学",陕西省杨凌区,/static/images/spots/复旦大学.jpg
合肥工业大学,80,4.2,1700,"高等学府,211,双一流,工科",安徽省合肥市,/static/images/spots/浙江大学.jpg
北京邮电大学,85,4.4,2300,"高等学府,211,双一流,信息通信",北京市海淀区,/static/images/spots/南京大学.jpg
中国政法大学,83,4.4,2100,"高等学府,211,双一流,法学强校",北京市海淀区,/static/images/spots/圆明园.jpg
